/home/pbqv20/anaconda3/envs/arcface/lib/python3.9/site-packages/torch/utils/_contextlib.py:125: UserWarning: Decorating classes is deprecated and will be disabled in future versions. You should only decorate functions or methods. To preserve the current behavior of class decoration, you can directly decorate the `__init__` method and nothing else.
  warnings.warn("Decorating classes is deprecated and will be disabled in "
Training: 2024-03-20 19:43:31,999-rank_id: 0
/home/pbqv20/anaconda3/envs/arcface/lib/python3.9/site-packages/torch/nn/parallel/distributed.py:2214: UserWarning: You passed find_unused_parameters=true to DistributedDataParallel, `_set_static_graph` will detect unused parameters automatically, so you do not need to set find_unused_parameters=true, just be sure these unused parameters will not change during training loop while calling `_set_static_graph`.
  warnings.warn(
Training: 2024-03-20 19:43:45,997-: margin_list              (1.0, 0.5, 0.0)
Training: 2024-03-20 19:43:45,997-: network                  r50
Training: 2024-03-20 19:43:45,997-: resume                   False
Training: 2024-03-20 19:43:45,997-: save_all_states          False
Training: 2024-03-20 19:43:45,997-: output                   work_dirs/ms1mv3_r50_onegpu
Training: 2024-03-20 19:43:45,997-: embedding_size           512
Training: 2024-03-20 19:43:45,997-: sample_rate              1.0
Training: 2024-03-20 19:43:45,997-: interclass_filtering_threshold0
Training: 2024-03-20 19:43:45,997-: fp16                     True
Training: 2024-03-20 19:43:45,997-: batch_size               128
Training: 2024-03-20 19:43:45,997-: optimizer                sgd
Training: 2024-03-20 19:43:45,997-: lr                       0.02
Training: 2024-03-20 19:43:45,998-: momentum                 0.9
Training: 2024-03-20 19:43:45,998-: weight_decay             0.0005
Training: 2024-03-20 19:43:45,998-: verbose                  2000
Training: 2024-03-20 19:43:45,998-: frequent                 10
Training: 2024-03-20 19:43:45,998-: dali                     False
Training: 2024-03-20 19:43:45,998-: dali_aug                 False
Training: 2024-03-20 19:43:45,998-: gradient_acc             1
Training: 2024-03-20 19:43:45,998-: seed                     2048
Training: 2024-03-20 19:43:45,998-: num_workers              2
Training: 2024-03-20 19:43:45,998-: wandb_key                xxxxx
Training: 2024-03-20 19:43:45,998-: suffix_run_name          xxxxx
Training: 2024-03-20 19:43:45,998-: using_wandb              False
Training: 2024-03-20 19:43:45,998-: wandb_entity             xxxxx
Training: 2024-03-20 19:43:45,998-: wandb_project            xxxxx
Training: 2024-03-20 19:43:45,998-: wandb_log_all            True
Training: 2024-03-20 19:43:45,998-: save_artifacts           True
Training: 2024-03-20 19:43:45,998-: wandb_resume             True
Training: 2024-03-20 19:43:45,998-: notes                    xxxxx
Training: 2024-03-20 19:43:45,998-: rec                      /home/pbqv20/datasets/data
Training: 2024-03-20 19:43:45,998-: num_classes              60000
Training: 2024-03-20 19:43:45,998-: num_image                1300000
Training: 2024-03-20 19:43:45,998-: num_epoch                20
Training: 2024-03-20 19:43:45,998-: warmup_epoch             0
Training: 2024-03-20 19:43:45,998-: val_targets              ['lfw', 'cfp_fp', 'agedb_30']
Training: 2024-03-20 19:43:45,998-: total_batch_size         128
Training: 2024-03-20 19:43:45,998-: warmup_step              0
Training: 2024-03-20 19:43:45,998-: total_step               203120
/home/pbqv20/anaconda3/envs/arcface/lib/python3.9/site-packages/torch/optim/lr_scheduler.py:136: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
Training: 2024-03-20 19:44:20,070-Speed 234.56 samples/sec   Loss 48.0988   LearningRate 0.019998   Epoch: 0   Global Step: 20   Fp16 Grad Scale: 16384   Required: 91 hours
Training: 2024-03-20 19:44:29,549-Speed 135.05 samples/sec   Loss 50.0425   LearningRate 0.019997   Epoch: 0   Global Step: 30   Fp16 Grad Scale: 16384   Required: 78 hours
Training: 2024-03-20 19:44:44,628-Speed 84.89 samples/sec   Loss 50.8188   LearningRate 0.019996   Epoch: 0   Global Step: 40   Fp16 Grad Scale: 16384   Required: 80 hours
Training: 2024-03-20 19:44:53,680-Speed 141.41 samples/sec   Loss 50.7894   LearningRate 0.019995   Epoch: 0   Global Step: 50   Fp16 Grad Scale: 16384   Required: 74 hours
Training: 2024-03-20 19:45:07,547-Speed 92.31 samples/sec   Loss 51.3824   LearningRate 0.019994   Epoch: 0   Global Step: 60   Fp16 Grad Scale: 16384   Required: 75 hours
Training: 2024-03-20 19:45:19,709-Speed 105.25 samples/sec   Loss 52.0304   LearningRate 0.019993   Epoch: 0   Global Step: 70   Fp16 Grad Scale: 16384   Required: 74 hours
Training: 2024-03-20 19:45:30,061-Speed 123.66 samples/sec   Loss 52.0111   LearningRate 0.019992   Epoch: 0   Global Step: 80   Fp16 Grad Scale: 16384   Required: 72 hours
Training: 2024-03-20 19:45:42,859-Speed 100.02 samples/sec   Loss 51.1080   LearningRate 0.019991   Epoch: 0   Global Step: 90   Fp16 Grad Scale: 16384   Required: 72 hours
Training: 2024-03-20 19:45:57,614-Speed 86.75 samples/sec   Loss 50.3463   LearningRate 0.019990   Epoch: 0   Global Step: 100   Fp16 Grad Scale: 16384   Required: 73 hours
Training: 2024-03-20 19:46:12,045-Speed 88.70 samples/sec   Loss 50.2653   LearningRate 0.019989   Epoch: 0   Global Step: 110   Fp16 Grad Scale: 32768   Required: 74 hours
Training: 2024-03-20 19:46:25,764-Speed 93.30 samples/sec   Loss 50.4102   LearningRate 0.019988   Epoch: 0   Global Step: 120   Fp16 Grad Scale: 32768   Required: 74 hours
Training: 2024-03-20 19:46:39,002-Speed 96.70 samples/sec   Loss 50.5090   LearningRate 0.019987   Epoch: 0   Global Step: 130   Fp16 Grad Scale: 32768   Required: 74 hours
Training: 2024-03-20 19:46:52,611-Speed 94.06 samples/sec   Loss 50.2761   LearningRate 0.019986   Epoch: 0   Global Step: 140   Fp16 Grad Scale: 32768   Required: 74 hours
Training: 2024-03-20 19:47:02,696-Speed 126.94 samples/sec   Loss 50.0963   LearningRate 0.019985   Epoch: 0   Global Step: 150   Fp16 Grad Scale: 32768   Required: 73 hours
Training: 2024-03-20 19:47:18,403-Speed 81.49 samples/sec   Loss 49.6676   LearningRate 0.019984   Epoch: 0   Global Step: 160   Fp16 Grad Scale: 32768   Required: 74 hours
Training: 2024-03-20 19:47:31,322-Speed 99.08 samples/sec   Loss 50.0967   LearningRate 0.019983   Epoch: 0   Global Step: 170   Fp16 Grad Scale: 32768   Required: 74 hours
Training: 2024-03-20 19:47:44,917-Speed 94.16 samples/sec   Loss 50.3167   LearningRate 0.019982   Epoch: 0   Global Step: 180   Fp16 Grad Scale: 32768   Required: 74 hours
Training: 2024-03-20 19:47:56,830-Speed 107.45 samples/sec   Loss 50.0166   LearningRate 0.019981   Epoch: 0   Global Step: 190   Fp16 Grad Scale: 32768   Required: 74 hours
Training: 2024-03-20 19:48:08,951-Speed 105.60 samples/sec   Loss 49.8309   LearningRate 0.019980   Epoch: 0   Global Step: 200   Fp16 Grad Scale: 32768   Required: 73 hours
Training: 2024-03-20 19:48:24,014-Speed 84.98 samples/sec   Loss 49.5030   LearningRate 0.019979   Epoch: 0   Global Step: 210   Fp16 Grad Scale: 65536   Required: 74 hours
Training: 2024-03-20 19:48:36,624-Speed 101.51 samples/sec   Loss 49.4149   LearningRate 0.019978   Epoch: 0   Global Step: 220   Fp16 Grad Scale: 65536   Required: 74 hours
Training: 2024-03-20 19:48:49,038-Speed 103.12 samples/sec   Loss 49.8613   LearningRate 0.019977   Epoch: 0   Global Step: 230   Fp16 Grad Scale: 65536   Required: 74 hours
Training: 2024-03-20 19:49:03,405-Speed 89.10 samples/sec   Loss 49.7636   LearningRate 0.019976   Epoch: 0   Global Step: 240   Fp16 Grad Scale: 65536   Required: 74 hours
Training: 2024-03-20 19:49:19,355-Speed 80.97 samples/sec   Loss 49.2448   LearningRate 0.019975   Epoch: 0   Global Step: 250   Fp16 Grad Scale: 65536   Required: 75 hours
Training: 2024-03-20 19:49:34,074-Speed 86.96 samples/sec   Loss 48.7899   LearningRate 0.019974   Epoch: 0   Global Step: 260   Fp16 Grad Scale: 65536   Required: 75 hours
Training: 2024-03-20 19:49:48,634-Speed 87.91 samples/sec   Loss 48.6227   LearningRate 0.019973   Epoch: 0   Global Step: 270   Fp16 Grad Scale: 65536   Required: 75 hours
Training: 2024-03-20 19:50:02,972-Speed 89.28 samples/sec   Loss 48.8008   LearningRate 0.019972   Epoch: 0   Global Step: 280   Fp16 Grad Scale: 65536   Required: 75 hours
Training: 2024-03-20 19:50:18,277-Speed 83.65 samples/sec   Loss 48.5076   LearningRate 0.019971   Epoch: 0   Global Step: 290   Fp16 Grad Scale: 65536   Required: 76 hours
Training: 2024-03-20 19:50:30,859-Speed 101.73 samples/sec   Loss 48.5621   LearningRate 0.019970   Epoch: 0   Global Step: 300   Fp16 Grad Scale: 65536   Required: 76 hours
Training: 2024-03-20 19:50:43,208-Speed 103.65 samples/sec   Loss 48.5641   LearningRate 0.019969   Epoch: 0   Global Step: 310   Fp16 Grad Scale: 131072   Required: 76 hours
Training: 2024-03-20 19:50:58,572-Speed 83.34 samples/sec   Loss 48.3333   LearningRate 0.019968   Epoch: 0   Global Step: 320   Fp16 Grad Scale: 131072   Required: 76 hours
